customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,escalations,csat_score,complaint_count,churn_risk,tenure_days
0020-INWCK,06-05-2023,Organic,06-05-2025,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,28-02-1986,,,0,Medium,731
0020-JDNXP,19-01-2022,Organic,19-01-2024,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,19-08-1994,,,0,Medium,730
0021-IKXGC,07-07-2021,Paid,07-07-2025,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,02-09-2000,,,0,Low,1461
0022-TCJCI,14-09-2023,Refferal,14-09-2024,Basic,Monthly,14-09-2024,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,30-12-1983,N,90,2,High,366
0023-HGHWL,23-06-2020,Organic,23-06-2025,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Men,14-05-1991,,,0,Low,1826
0023-UYUPN,31-12-2022,Paid,31-12-2025,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Women,06-10-1977,,,0,Low,1096
1001-RAGFT,23-04-2023 00:00,Organic,23-04-2024 00:00,Standard,Monthly,,,15.08,1009,52,0,Harsh,India,Meghalaya,Male,07-02-1971 00:00,N,30,2,Medium,366
1002-JJGBM,08-11-2019 00:00,Refferal,08-11-2020 00:00,Premium,Annual,,,24.34,901,48,0,Omkar,India,Maharashtra,Male,20-11-1988 00:00,,,0,Low,366
1003-WDJSS,23-11-2021 00:00,Refferal,23-11-2022 00:00,Standard,Annual,,,17.46,597,65,0,Pranav,India,Uttar Pradesh,Male,08-12-2004 00:00,N,100,1,Medium,365
1004-HRKXM,05-04-2021 00:00,Organic,05-04-2022 00:00,Standard,Monthly,25-07-2021 00:00,Poor streaming quality,15.18,715,45,1,Neha,India,Karnataka,Female,24-05-2004 00:00,,,0,Low,365
1005-QMGPY,24-12-2019 00:00,Organic,24-12-2020 00:00,Basic,Monthly,,,8.52,340,5,0,Varun,India,West Bengal,Male,10-02-1991 00:00,,,0,Low,366
1006-RQDUN,03-10-2020 00:00,Organic,03-10-2021 00:00,Basic,Monthly,,,6.75,613,26,0,Pranav,India,Delhi,Male,12-02-1971 00:00,,,0,Low,365
1007-MPGWL,04-08-2023 00:00,Organic,04-08-2024 00:00,Basic,Monthly,,,5.99,759,17,0,Varun,India,West Bengal,Male,10-12-1982 00:00,N,50,2,Low,366
1008-MNTXP,28-08-2022 00:00,Refferal,28-08-2023 00:00,Standard,Annual,21-04-2023 00:00,Not enough content,13.49,570,49,1,Manish,India,Tamil Nadu,Male,04-02-1982 00:00,N,70,1,Low,365
1009-GFYLW,07-08-2022 00:00,Organic,07-08-2023 00:00,Premium,Annual,24-03-2023 00:00,Not enough content,19.79,940,56,1,Rohan,India,Uttar Pradesh,Male,03-01-2004 00:00,,,0,Medium,365
1010-GSTUR,19-01-2019 00:00,Paid,19-01-2020 00:00,Standard,Annual,05-11-2019 00:00,Switched to competitor,14.82,848,37,1,Neha,India,Karnataka,Female,19-01-1983 00:00,N,100,1,Low,365
1011-PABRP,25-06-2022 00:00,Paid,25-06-2023 00:00,Premium,Monthly,,,19.67,652,99,0,Mira,India,Karnataka,Female,09-04-1990 00:00,,,0,High,365
1012-NDJBF,10-09-2024 00:00,Refferal,10-09-2025 00:00,Premium,Monthly,03-12-2024 00:00,Forgot to cancel trial,18.66,447,80,1,Pooja,India,Rajasthan,Female,10-12-2004 00:00,N,50,1,High,365
1013-MXWCL,04-01-2023 00:00,Refferal,04-01-2024 00:00,Basic,Annual,,,8.45,399,2,0,Priya,India,Maharashtra,Female,09-11-1978 00:00,,,0,Low,365
1014-DDHXV,26-03-2020 00:00,Organic,26-03-2021 00:00,Premium,Annual,,,21.42,866,70,0,Yash,India,Karnataka,Male,04-11-1985 00:00,,,0,High,365
1015-VWVGU,01-04-2020 00:00,Organic,01-04-2021 00:00,Standard,Monthly,20-09-2020 00:00,Not enough content,13.74,504,49,1,Omkar,India,Kerala,Male,07-04-2000 00:00,,,0,Low,365
1016-ZNYCZ,14-06-2024 00:00,Organic,14-06-2025 00:00,Standard,Monthly,,,12.41,771,45,0,Harsh,India,Bihar,Male,04-01-1986 00:00,,,0,Low,365
1017-AYNTT,11-07-2024 00:00,Organic,11-07-2025 00:00,Standard,Monthly,,,14.75,996,15,0,Yash,India,Rajasthan,Male,11-10-1991 00:00,,,0,Low,365
1018-XQHPA,22-03-2024 00:00,Paid,22-03-2025 00:00,Basic,Monthly,,,7.14,693,37,0,Ananya,India,Rajasthan,Female,15-08-1990 00:00,,,0,Low,365
1019-SFEAF,08-07-2022 00:00,Refferal,08-07-2023 00:00,Basic,Annual,,,10.26,575,63,0,Kritika,India,Kerala,Female,14-08-1974 00:00,,,0,Medium,365
1020-FVSMP,17-12-2023 00:00,Organic,17-12-2024 00:00,Standard,Annual,15-09-2024 00:00,Poor streaming quality,13.31,779,55,1,Saurabh,India,Maharashtra,Male,17-11-1999 00:00,,,0,Medium,366
1021-RUNRG,23-07-2020 00:00,Organic,23-07-2021 00:00,Basic,Monthly,,,6.94,302,45,0,Raghav,India,Karnataka,Male,18-06-1991 00:00,,,0,Low,365
1022-VKUYA,09-04-2022 00:00,Organic,09-04-2023 00:00,Standard,Monthly,,,11.36,852,74,0,Sakshi,India,Maharashtra,Female,25-05-1992 00:00,Y,90,1,High,365
1023-XQRCL,25-05-2022 00:00,Refferal,25-05-2023 00:00,Premium,Monthly,,,20.83,1146,85,0,Pooja,India,Maharashtra,Female,07-06-1994 00:00,N,20,3,High,365
1024-CYMGJ,03-04-2024 00:00,Organic,03-04-2025 00:00,Standard,Annual,,,12.57,879,56,0,Rahul,India,Bihar,Male,01-10-1976 00:00,,,0,Medium,365
1025-VVPAN,21-06-2022 00:00,Organic,21-06-2023 00:00,Premium,Monthly,14-04-2023 00:00,Not enough content,20.91,528,97,1,Sneha,India,Telangana,Female,28-01-1991 00:00,,,0,High,365
1026-UMVQH,28-08-2019 00:00,Organic,28-08-2020 00:00,Basic,Monthly,17-02-2020 00:00,Forgot to cancel trial,9.8,599,52,1,Aditya,India,Delhi,Male,25-04-1998 00:00,,,0,Medium,366
1027-AYCTM,23-07-2020 00:00,Organic,23-07-2021 00:00,Basic,Annual,,,8.19,468,2,0,Manish,India,Uttar Pradesh,Male,26-08-2001 00:00,,,0,Low,365
1028-PJLHF,19-12-2021 00:00,Organic,19-12-2022 00:00,Premium,Monthly,27-04-2022 00:00,Not enough content,21.78,682,95,1,Nikhil,India,Maharashtra,Male,06-12-2004 00:00,N,20,1,High,365
1029-PSDWM,27-02-2022 00:00,Paid,27-02-2023 00:00,Basic,Monthly,,,6.21,586,41,0,Harsh,India,Delhi,Male,11-08-2000 00:00,,,0,Low,365
1030-YCFPK,02-10-2023 00:00,Refferal,02-10-2024 00:00,Standard,Annual,17-02-2024 00:00,Not enough content,14.71,904,35,1,Aniket,India,Nagaland,Male,28-05-1998 00:00,N,70,1,Low,366
1031-SMAGG,21-04-2023 00:00,Organic,21-04-2024 00:00,Basic,Monthly,25-10-2023 00:00,Forgot to cancel trial,8.2,481,72,1,Sneha,India,Gujarat,Female,19-11-1986 00:00,,,0,High,366
1032-GCSSY,22-04-2019 00:00,Refferal,22-04-2020 00:00,Premium,Monthly,,,20.27,749,52,0,Tanvi,India,Maharashtra,Female,24-07-1972 00:00,,,0,Medium,366
1033-AUMRX,04-11-2021 00:00,Paid,04-11-2022 00:00,Premium,Monthly,27-06-2022 00:00,Forgot to cancel trial,21.64,649,71,1,Harsh,India,Rajasthan,Male,16-02-2001 00:00,Y,70,1,High,365
1034-VAWMB,16-12-2022 00:00,Paid,16-12-2023 00:00,Basic,Annual,,,7.47,372,12,0,Kritika,India,West Bengal,Female,07-01-1998 00:00,,,0,Low,365
1035-PCZXM,15-04-2022 00:00,Refferal,15-04-2023 00:00,Standard,Monthly,,,13.24,819,37,0,Kunal,India,Rajasthan,Male,23-09-1988 00:00,,,0,Low,365
1036-GUKYN,25-09-2021 00:00,Organic,25-09-2022 00:00,Standard,Monthly,24-02-2022 00:00,Forgot to cancel trial,14.88,726,99,1,Raghav,India,Gujarat,Male,15-03-2001 00:00,,,0,High,365
1037-KHMXK,15-09-2019 00:00,Refferal,15-09-2020 00:00,Basic,Monthly,,,8.56,102,48,0,Manish,India,Bihar,Male,19-09-1978 00:00,,,0,Low,366
1038-GQKBH,10-11-2024 00:00,Organic,10-11-2025 00:00,Premium,Annual,30-01-2025 00:00,Poor streaming quality,20.93,1162,55,1,Meera,India,Uttar Pradesh,Female,02-09-2001 00:00,,,0,Medium,365
1039-AHBJL,05-10-2022 00:00,Organic,05-10-2023 00:00,Basic,Annual,,,7.57,611,48,0,Aniket,India,Meghalaya,Male,06-03-1981 00:00,,,0,Low,365
1040-GPBYZ,19-07-2020 00:00,Paid,19-07-2021 00:00,Standard,Monthly,08-03-2021 00:00,Not enough content,11.42,609,85,1,Diya,India,Gujarat,Female,07-05-1999 00:00,,,0,High,365
1041-UZXTV,21-02-2024 00:00,Organic,21-02-2025 00:00,Standard,Monthly,,,15.73,1134,35,0,Isha,India,Uttar Pradesh,Female,21-04-1992 00:00,,,0,Low,366
1042-HTEDN,03-08-2019 00:00,Refferal,03-08-2020 00:00,Basic,Annual,,,5.99,960,55,0,Pallavi,India,Rajasthan,Female,09-03-1987 00:00,,,0,Medium,366
1043-VJUAN,20-01-2022 00:00,Refferal,20-01-2023 00:00,Premium,Monthly,23-03-2022 00:00,Poor streaming quality,18.81,1113,48,1,Nandini,India,Gujarat,Female,13-10-1986 00:00,,,0,Low,365
1044-KDYHM,24-12-2023 00:00,Organic,24-12-2024 00:00,Basic,Monthly,,,6.88,500,14,0,Arjun,India,Kerala,Male,15-07-1978 00:00,,,0,Low,366
1045-AJLYW,22-02-2022 00:00,Refferal,22-02-2023 00:00,Basic,Annual,10-09-2022 00:00,Too expensive,5.99,402,52,1,Yash,India,Telangana,Male,13-01-1992 00:00,,,0,Medium,365
1046-EVPQV,22-02-2020 00:00,Organic,22-02-2021 00:00,Premium,Monthly,,,24.4,1039,43,0,Nikhil,India,West Bengal,Male,28-05-1970 00:00,N,90,1,Low,366
1047-TMUNC,22-07-2022 00:00,Organic,22-07-2023 00:00,Basic,Annual,,,9.78,582,13,0,Pranav,India,Maharashtra,Male,15-05-2003 00:00,,,0,Low,365
1048-DQQTK,14-04-2022 00:00,Organic,14-04-2023 00:00,Basic,Monthly,18-12-2022 00:00,Not enough content,10.87,713,13,1,Tanvi,India,Telangana,Female,26-02-1997 00:00,,,0,Low,365
1049-DYBVC,28-06-2022 00:00,Refferal,28-06-2023 00:00,Standard,Annual,,,14.56,719,65,0,Yash,India,Tamil Nadu,Male,18-10-1973 00:00,,,0,Medium,365
1050-JPFRF,20-10-2023 00:00,Paid,20-10-2024 00:00,Standard,Monthly,,,11.08,750,71,0,Yash,India,Kerala,Male,25-02-1993 00:00,Y,60,1,High,366
1051-EDRBT,24-05-2021 00:00,Paid,24-05-2022 00:00,Basic,Annual,,,8.54,346,52,0,Aditya,India,West Bengal,Male,14-07-1983 00:00,,,0,Medium,365
1052-BBLLQ,19-11-2024 00:00,Organic,19-11-2025 00:00,Standard,Annual,,,14.5,650,54,0,Mira,India,Karnataka,Female,12-02-2002 00:00,N,50,1,Medium,365
1053-HATEK,28-02-2022 00:00,Organic,28-02-2023 00:00,Basic,Monthly,,,12.09,372,60,0,Aniket,India,Telangana,Male,13-02-1992 00:00,,,0,Medium,365
1054-ZEYMS,24-05-2022 00:00,Organic,24-05-2023 00:00,Basic,Monthly,,,9.43,615,27,0,Sneha,India,Rajasthan,Female,14-04-1976 00:00,,,0,Low,365
1055-XJTVV,15-08-2024 00:00,Organic,15-08-2025 00:00,Premium,Annual,,,23.54,1225,35,0,Vivek,India,Maharashtra,Male,20-03-1982 00:00,,,0,Low,365
1056-QWRDB,02-01-2022 00:00,Paid,02-01-2023 00:00,Standard,Monthly,,,14.9,905,77,0,Riya,India,Tamil Nadu,Female,17-06-1973 00:00,,,0,High,365
1057-KPYTA,17-02-2024 00:00,Paid,17-02-2025 00:00,Standard,Monthly,,,13.45,553,41,0,Nikhil,India,Uttar Pradesh,Male,02-03-2002 00:00,,,0,Low,366
1058-JYKUS,20-11-2024 00:00,Paid,20-11-2025 00:00,Premium,Monthly,17-06-2025 00:00,Not enough content,19.2,1207,63,1,Nikhil,India,Maharashtra,Male,22-09-1976 00:00,,,0,Medium,365
1059-KQYHK,10-06-2019 00:00,Refferal,10-06-2020 00:00,Basic,Monthly,,,8.6,490,69,0,Neha,India,Gujarat,Female,21-02-2003 00:00,,,0,Medium,366
1060-BWCUW,26-10-2024 00:00,Organic,26-10-2025 00:00,Premium,Annual,,,24.19,1675,47,0,Nikhil,India,Kerala,Male,13-10-1978 00:00,,,0,Low,365
1061-QUUFF,26-04-2020 00:00,Organic,26-04-2021 00:00,Standard,Annual,,,15.37,509,28,0,Ananya,India,Nagaland,Female,25-08-1998 00:00,,,0,Low,365
1062-TNCCD,13-01-2022 00:00,Refferal,13-01-2023 00:00,Standard,Monthly,,,15.05,667,50,0,Pallavi,India,Maharashtra,Female,08-02-1997 00:00,,,0,Medium,365
1063-WRUDG,27-04-2021 00:00,Paid,27-04-2022 00:00,Basic,Annual,,,9.03,493,43,0,Neha,India,West Bengal,Female,20-08-2000 00:00,,,0,Low,365
1064-CFRQB,12-10-2019 00:00,Paid,12-10-2020 00:00,Basic,Monthly,13-05-2020 00:00,Switched to competitor,5.99,715,42,1,Kritika,India,Telangana,Female,08-10-2002 00:00,,,0,Low,366
1065-UNAWB,21-11-2024 00:00,Paid,21-11-2025 00:00,Basic,Annual,19-06-2025 00:00,Forgot to cancel trial,8.46,544,16,1,Nandini,India,Karnataka,Female,26-06-1971 00:00,,,0,Low,365
1066-VSZME,10-06-2019 00:00,Paid,10-06-2020 00:00,Standard,Annual,,,14.84,886,30,0,Aditya,India,Gujarat,Male,10-01-1999 00:00,,,0,Low,366
1067-JUWHC,09-09-2021 00:00,Organic,09-09-2022 00:00,Premium,Annual,,,21.12,1202,27,0,Diya,India,Kerala,Female,11-07-1998 00:00,,,0,Low,365
1068-HBRHQ,03-01-2024 00:00,Paid,03-01-2025 00:00,Standard,Monthly,,,15.22,791,83,0,Pooja,India,Gujarat,Female,02-08-1992 00:00,N,70,2,High,366
1069-ADLJL,06-12-2019 00:00,Paid,06-12-2020 00:00,Standard,Monthly,17-05-2020 00:00,Poor streaming quality,10.96,628,37,1,Harsh,India,Maharashtra,Male,11-07-1993 00:00,,,0,Low,366
1070-SZEDB,23-03-2021 00:00,Organic,23-03-2022 00:00,Standard,Annual,,,15.12,1322,59,0,Saurabh,India,Bihar,Male,12-11-1990 00:00,,,0,Medium,365
1071-VFMJP,03-10-2022 00:00,Organic,03-10-2023 00:00,Basic,Monthly,,,9.25,754,76,0,Mansi,India,Maharashtra,Female,10-02-1975 00:00,N,30,2,High,365
1072-NHDYF,06-11-2023 00:00,Organic,06-11-2024 00:00,Standard,Annual,,,15.42,1085,40,0,Sneha,India,Karnataka,Female,21-03-1987 00:00,,,0,Low,366
1073-YAWBY,16-05-2024 00:00,Organic,16-05-2025 00:00,Basic,Annual,,,6.29,437,36,0,Ananya,India,West Bengal,Female,21-10-1996 00:00,,,0,Low,365
1074-KMJDW,04-08-2020 00:00,Organic,04-08-2021 00:00,Basic,Monthly,18-03-2021 00:00,Forgot to cancel trial,8.17,189,99,1,Nandini,India,Bihar,Female,17-06-1978 00:00,,,0,High,365
1075-XVYTE,15-09-2022 00:00,Organic,15-09-2023 00:00,Premium,Monthly,25-06-2023 00:00,Forgot to cancel trial,22.5,1148,24,1,Manish,India,Bihar,Male,10-08-1999 00:00,,,0,Low,365
1076-MNWLX,03-05-2023 00:00,Paid,03-05-2024 00:00,Standard,Monthly,,,16.39,658,60,0,Shreya,India,Nagaland,Female,19-01-1995 00:00,,,0,Medium,366
1077-DCJZP,11-12-2020 00:00,Organic,11-12-2021 00:00,Premium,Monthly,,,19.42,541,77,0,Neha,India,Karnataka,Female,17-07-2002 00:00,,,0,High,365
1078-HKQWQ,21-12-2024 00:00,Refferal,21-12-2025 00:00,Basic,Monthly,,,8.47,507,51,0,Avni,India,Delhi,Female,11-06-1971 00:00,,,0,Medium,365
1079-TQERQ,14-06-2022 00:00,Organic,14-06-2023 00:00,Basic,Annual,,,12.71,477,56,0,Neha,India,Tamil Nadu,Female,19-01-1985 00:00,,,0,Medium,365
1080-TBDEH,22-12-2024 00:00,Paid,22-12-2025 00:00,Standard,Annual,27-05-2025 00:00,Not enough content,14.4,911,35,1,Pallavi,India,Nagaland,Female,18-08-1981 00:00,,,0,Low,365
1081-ZHGES,25-06-2022 00:00,Organic,25-06-2023 00:00,Premium,Monthly,,,19.25,880,59,0,Sakshi,India,Delhi,Female,04-05-1987 00:00,,,0,Medium,365
1082-GMENY,14-02-2019 00:00,Paid,14-02-2020 00:00,Basic,Monthly,22-12-2019 00:00,Too expensive,9.89,509,25,1,Neha,India,Maharashtra,Female,02-04-1985 00:00,,,0,Low,365
1083-XMEZH,27-01-2020 00:00,Refferal,27-01-2021 00:00,Standard,Monthly,,,12.95,1172,40,0,Aditya,India,Uttar Pradesh,Male,24-09-1984 00:00,,,0,Low,366
1084-APCZG,21-08-2024 00:00,Paid,21-08-2025 00:00,Basic,Monthly,,,8.88,750,23,0,Neha,India,Kerala,Female,07-05-1999 00:00,,,0,Low,365
1085-EWXVN,08-07-2021 00:00,Organic,08-07-2022 00:00,Standard,Monthly,,,18.66,627,79,0,Omkar,India,Uttar Pradesh,Male,16-03-1981 00:00,,,0,High,365
1086-JFSMD,15-03-2022 00:00,Organic,15-03-2023 00:00,Standard,Annual,,,12.92,549,77,0,Kavya,India,Uttar Pradesh,Female,20-06-1988 00:00,,,0,High,365
1087-RFFUW,05-09-2023 00:00,Organic,05-09-2024 00:00,Basic,Annual,,,8.97,461,59,0,Aniket,India,Rajasthan,Male,19-02-1993 00:00,,,0,Medium,366
1088-XLBDK,19-04-2024 00:00,Paid,19-04-2025 00:00,Basic,Monthly,,,7.86,248,2,0,Varun,India,Rajasthan,Male,01-12-1989 00:00,,,0,Low,365
1089-ZMGED,28-11-2024 00:00,Organic,28-11-2025 00:00,Standard,Annual,,,13.43,1012,19,0,Nandini,India,Bihar,Female,28-08-1994 00:00,,,0,Low,365
1090-TFAAH,25-12-2020 00:00,Organic,25-12-2021 00:00,Basic,Annual,,,5.99,572,31,0,Mansi,India,Nagaland,Female,15-04-1984 00:00,N,80,1,Low,365
1091-SWFBL,05-05-2020 00:00,Organic,05-05-2021 00:00,Premium,Monthly,,,24.16,1275,28,0,Rohan,India,Maharashtra,Male,27-04-1988 00:00,,,0,Low,365
1092-TESPB,25-03-2022 00:00,Organic,25-03-2023 00:00,Standard,Monthly,,,14.01,654,33,0,Shreya,India,West Bengal,Female,14-12-1990 00:00,,,0,Low,365
1093-BKKNK,13-05-2019 00:00,Refferal,13-05-2020 00:00,Standard,Annual,07-04-2020 00:00,Forgot to cancel trial,14.43,623,34,1,Ananya,India,Delhi,Female,28-08-1975 00:00,Y,100,3,Low,366
1094-EXPUK,11-06-2020 00:00,Organic,11-06-2021 00:00,Standard,Monthly,21-11-2020 00:00,Forgot to cancel trial,13.14,985,58,1,Riya,India,Karnataka,Female,15-08-2002 00:00,,,0,Medium,365
1095-LDHKW,26-12-2020 00:00,Paid,26-12-2021 00:00,Standard,Monthly,29-10-2021 00:00,Switched to competitor,17.48,1221,30,1,Mansi,India,Uttar Pradesh,Female,25-05-1991 00:00,,,0,Low,365
1096-BVBAD,22-11-2023 00:00,Paid,22-11-2024 00:00,Premium,Annual,19-09-2024 00:00,Forgot to cancel trial,16.7,862,53,1,Aditya,India,Gujarat,Male,17-04-1970 00:00,N,30,2,Medium,366
1097-YNFQG,27-11-2021 00:00,Refferal,27-11-2022 00:00,Premium,Annual,,,21.61,647,39,0,Mira,India,Tamil Nadu,Female,13-06-1975 00:00,,,0,Low,365
1098-PBAEM,03-01-2021 00:00,Paid,03-01-2022 00:00,Standard,Monthly,,,12.91,716,45,0,Meera,India,Telangana,Female,02-09-1976 00:00,,,0,Low,365
1099-AEDVV,05-12-2022 00:00,Organic,05-12-2023 00:00,Premium,Annual,,,21.78,1015,38,0,Raghav,India,Maharashtra,Male,27-10-1985 00:00,,,0,Low,365
1100-FBQQQ,19-11-2020 00:00,Paid,19-11-2021 00:00,Standard,Monthly,,,14.67,947,77,0,Aditi,India,Uttar Pradesh,Female,08-08-1998 00:00,N,70,1,High,365
1101-JCYLU,03-01-2019 00:00,Paid,03-01-2020 00:00,Standard,Monthly,,,12.17,758,46,0,Kunal,India,Maharashtra,Male,18-08-1997 00:00,,,0,Low,365
1102-KCXXZ,09-07-2020 00:00,Organic,09-07-2021 00:00,Standard,Monthly,12-12-2020 00:00,Poor streaming quality,15.33,824,55,1,Omkar,India,Maharashtra,Male,09-05-1987 00:00,N,70,1,Medium,365
1103-WKWLL,23-12-2021 00:00,Paid,23-12-2022 00:00,Standard,Annual,,,16.8,792,37,0,Raghav,India,Delhi,Male,11-08-1982 00:00,,,0,Low,365
1104-JYEZE,05-08-2024 00:00,Paid,05-08-2025 00:00,Standard,Monthly,,,13.55,1022,53,0,Saurabh,India,Goa,Male,26-08-1983 00:00,,,0,Medium,365
1105-ZMKNY,22-11-2020 00:00,Organic,22-11-2021 00:00,Standard,Annual,,,15.81,1093,66,0,Mansi,India,Maharashtra,Female,26-12-1993 00:00,,,0,Medium,365
1106-UZLAG,04-08-2019 00:00,Organic,04-08-2020 00:00,Basic,Annual,,,8.04,541,57,0,Saurabh,India,Nagaland,Male,19-11-1999 00:00,,,0,Medium,366
1107-JUNJC,24-03-2024 00:00,Organic,24-03-2025 00:00,Basic,Monthly,,,8.7,698,47,0,Meera,India,Maharashtra,Female,04-12-1972 00:00,,,0,Low,365
1108-KERLA,19-02-2024 00:00,Organic,19-02-2025 00:00,Basic,Annual,,,9.3,944,23,0,Saurabh,India,Uttar Pradesh,Male,23-01-1994 00:00,,,0,Low,366
1109-WNRQQ,08-02-2021 00:00,Paid,08-02-2022 00:00,Basic,Monthly,,,5.99,673,25,0,Yash,India,Nagaland,Male,06-10-1999 00:00,,,0,Low,365
1110-KERSR,16-01-2021 00:00,Refferal,16-01-2022 00:00,Basic,Annual,,,9.73,704,56,0,Varun,India,Maharashtra,Male,06-03-1988 00:00,,,0,Medium,365
1111-KWMBA,04-09-2023 00:00,Paid,04-09-2024 00:00,Standard,Monthly,,,13.96,750,38,0,Raghav,India,Maharashtra,Male,10-09-1984 00:00,,,0,Low,366
1112-ULFLT,07-04-2019 00:00,Organic,07-04-2020 00:00,Premium,Annual,,,19.5,936,76,0,Raghav,India,Kerala,Male,09-08-1972 00:00,Y,20,1,High,366
1113-JGNHS,28-05-2019 00:00,Organic,28-05-2020 00:00,Standard,Annual,08-12-2019 00:00,Too expensive,12.17,835,40,1,Avni,India,Karnataka,Female,27-11-2002 00:00,,,0,Low,366
1114-MPGKL,28-01-2023 00:00,Paid,28-01-2024 00:00,Premium,Annual,,,19.75,1034,38,0,Omkar,India,Telangana,Male,12-12-1987 00:00,,,0,Low,365
1115-BNFLF,02-01-2024 00:00,Organic,02-01-2025 00:00,Basic,Annual,21-04-2024 00:00,Poor streaming quality,8.53,460,30,1,Meera,India,Tamil Nadu,Female,19-09-1991 00:00,,,0,Low,366
1116-LZXXH,24-05-2024 00:00,Paid,24-05-2025 00:00,Standard,Monthly,,,14.5,265,25,0,Sneha,India,Uttar Pradesh,Female,12-02-1986 00:00,,,0,Low,365
1117-DFSAS,12-06-2019 00:00,Paid,12-06-2020 00:00,Premium,Monthly,,,19.41,725,60,0,Akash,India,Gujarat,Male,08-02-2000 00:00,,,0,Medium,366
1118-DNARL,13-12-2023 00:00,Paid,13-12-2024 00:00,Standard,Monthly,24-02-2024 00:00,Too expensive,17.24,816,78,1,Kunal,India,Madhya Pradesh,Male,03-04-1998 00:00,,,0,High,366
1119-QUSWR,13-08-2020 00:00,Paid,13-08-2021 00:00,Basic,Monthly,,,7.95,649,29,0,Ananya,India,Telangana,Female,24-04-2002 00:00,,,0,Low,365
1120-YDWPJ,02-01-2020 00:00,Organic,02-01-2021 00:00,Premium,Monthly,,,20.35,925,69,0,Manish,India,Goa,Male,19-01-1974 00:00,,,0,Medium,366
1121-KRNDC,24-07-2024 00:00,Organic,24-07-2025 00:00,Premium,Monthly,,,22.13,689,97,0,Aniket,India,Madhya Pradesh,Male,11-09-1979 00:00,,,0,High,365
1122-BRREA,25-12-2020 00:00,Organic,25-12-2021 00:00,Premium,Annual,,,21.87,776,69,0,Aarav,India,Maharashtra,Male,17-09-1992 00:00,,,0,Medium,365
